company_id,observations,observed_years,first_year,last_year,positive_observations
0000716778,3,3,2011,2013,1
0000717423,6,6,2011,2016,1
0000717605,1,1,2020,2020,0
0000717954,9,9,2012,2020,0
0000718332,5,5,2012,2020,3
0000718789,1,1,2011,2011,0
0000718877,6,6,2011,2016,0
0000718924,5,5,2011,2015,1
0000718937,10,10,2011,2020,0
0000719135,8,8,2011,2020,3
0000719164,1,1,2012,2012,0
0000719209,4,4,2011,2014,1
0000719274,5,5,2012,2016,3
0000719413,1,1,2020,2020,0
0000719494,10,10,2011,2020,2
0000719733,8,8,2012,2020,1
0000719866,1,1,2013,2013,0
0000719955,6,6,2011,2020,1
0000720154,6,6,2011,2016,2
0000720500,1,1,2017,2017,0
0000720762,3,3,2012,2016,2
0000720875,6,6,2012,2019,0
0000721371,9,9,2011,2020,0
0000721447,6,6,2011,2017,3
0000721683,7,7,2011,2017,2
0000721693,5,5,2011,2015,2
0000722313,10,10,2011,2020,0
0000722392,3,3,2011,2013,0
0000722572,8,8,2013,2020,1
0000722723,4,4,2016,2020,0
0000722830,3,3,2012,2014,1
0000723125,10,10,2011,2020,2
0000723254,7,7,2011,2017,0
0000723531,4,4,2011,2014,0
0000723603,2,2,2018,2020,0
0000723612,2,2,2019,2020,1
0000724571,5,5,2012,2016,0
0000724606,1,1,2013,2013,0
0000724910,3,3,2012,2014,0
0000724941,1,1,2011,2011,1
0000725876,4,4,2012,2015,2
0000726435,2,2,2012,2013,1
0000726513,2,2,2015,2016,0
0000726514,5,5,2012,2016,2
0000726958,10,10,2011,2020,0
0000727207,7,7,2014,2020,3
0000727510,8,8,2011,2019,6
0000727634,9,9,2011,2020,5
0000727672,3,3,2011,2015,2
0000728249,3,3,2011,2013,2
0000728303,3,3,2011,2013,0
0000728385,7,7,2013,2020,3
0000728387,3,3,2018,2020,0
0000728447,1,1,2017,2017,0
0000728535,6,6,2011,2016,0
0000729580,10,10,2011,2020,0
0000730255,5,5,2012,2016,1
0000730263,8,8,2011,2020,1
