dimension,group,observations,x_core_available,x_core_coverage,target_available,target_coverage,supervised_L_available,supervised_L_coverage
historical_sic,5020.0,32,16,0.5,4,0.125,4,0.125
historical_sic,5030.0,73,58,0.7945205479452054,42,0.5753424657534246,41,0.5616438356164384
historical_sic,5031.0,25,17,0.68,11,0.44,10,0.4
historical_sic,5040.0,22,13,0.5909090909090909,6,0.2727272727272727,6,0.2727272727272727
historical_sic,5045.0,93,79,0.8494623655913979,46,0.4946236559139785,42,0.45161290322580644
historical_sic,5047.0,79,73,0.9240506329113924,52,0.6582278481012658,52,0.6582278481012658
historical_sic,5050.0,8,8,1.0,2,0.25,2,0.25
historical_sic,5051.0,71,68,0.9577464788732394,48,0.676056338028169,47,0.6619718309859155
historical_sic,5063.0,64,57,0.890625,51,0.796875,49,0.765625
historical_sic,5064.0,8,7,0.875,4,0.5,4,0.5
historical_sic,5065.0,166,143,0.8614457831325302,105,0.6325301204819277,101,0.608433734939759
historical_sic,5070.0,36,28,0.7777777777777778,20,0.5555555555555556,20,0.5555555555555556
historical_sic,5072.0,26,17,0.6538461538461539,11,0.4230769230769231,11,0.4230769230769231
historical_sic,5080.0,87,66,0.7586206896551724,51,0.5862068965517241,49,0.5632183908045977
historical_sic,5082.0,1,0,0.0,0,0.0,0,0.0
historical_sic,5084.0,68,60,0.8823529411764706,50,0.7352941176470589,49,0.7205882352941176
historical_sic,5090.0,99,53,0.5353535353535354,26,0.26262626262626265,26,0.26262626262626265
historical_sic,5094.0,21,11,0.5238095238095238,6,0.2857142857142857,5,0.23809523809523808
historical_sic,5099.0,20,10,0.5,5,0.25,5,0.25
historical_sic,5110.0,31,29,0.9354838709677419,18,0.5806451612903226,18,0.5806451612903226
historical_sic,5122.0,162,146,0.9012345679012346,81,0.5,81,0.5
historical_sic,5130.0,57,43,0.7543859649122807,27,0.47368421052631576,26,0.45614035087719296
historical_sic,5140.0,117,77,0.6581196581196581,37,0.3162393162393162,35,0.29914529914529914
historical_sic,5141.0,109,97,0.8899082568807339,64,0.5871559633027523,61,0.5596330275229358
historical_sic,5150.0,83,70,0.8433734939759037,26,0.3132530120481928,25,0.30120481927710846
historical_sic,5160.0,68,61,0.8970588235294118,34,0.5,34,0.5
historical_sic,5171.0,65,54,0.8307692307692308,30,0.46153846153846156,28,0.4307692307692308
historical_sic,5172.0,72,49,0.6805555555555556,28,0.3888888888888889,27,0.375
historical_sic,5180.0,23,13,0.5652173913043478,2,0.08695652173913043,2,0.08695652173913043
historical_sic,5190.0,94,70,0.7446808510638298,33,0.35106382978723405,33,0.35106382978723405
historical_sic,5200.0,70,54,0.7714285714285715,50,0.7142857142857143,49,0.7
historical_sic,5211.0,98,86,0.8775510204081632,52,0.5306122448979592,52,0.5306122448979592
historical_sic,5311.0,94,76,0.8085106382978723,33,0.35106382978723405,32,0.3404255319148936
historical_sic,5331.0,150,118,0.7866666666666666,69,0.46,65,0.43333333333333335
historical_sic,5399.0,5,5,1.0,1,0.2,1,0.2
historical_sic,5400.0,77,37,0.4805194805194805,16,0.2077922077922078,16,0.2077922077922078
historical_sic,5411.0,150,137,0.9133333333333333,82,0.5466666666666666,81,0.54
historical_sic,5412.0,13,6,0.46153846153846156,4,0.3076923076923077,2,0.15384615384615385
historical_sic,5500.0,245,210,0.8571428571428571,63,0.2571428571428571,61,0.24897959183673468
historical_sic,5531.0,82,76,0.926829268292683,54,0.6585365853658537,53,0.6463414634146342
historical_sic,5600.0,172,132,0.7674418604651163,93,0.5406976744186046,85,0.4941860465116279
