research_universe_company_year_id,cik10,feature_year,anchor_accession,primitive,tag,value,start,end,review_outcome
0000096223-2013,0000096223,2013,0000096223-14-000006,net_income,NetIncomeLoss,369240000.0,2013-01-01,2013-12-31,PASS_exact_companyfacts_record
0000096223-2013,0000096223,2013,0000096223-14-000006,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,702340000.0,2013-01-01,2013-12-31,PASS_exact_companyfacts_record
0000033185-2021,0000033185,2021,0000033185-22-000014,assets,Assets,11040900000.0,,2021-12-31,PASS_exact_companyfacts_record
0000033185-2021,0000033185,2021,0000033185-22-000014,liabilities,Liabilities,7439700000.0,,2021-12-31,PASS_exact_companyfacts_record
0000033185-2021,0000033185,2021,0000033185-22-000014,current_assets,AssetsCurrent,1120900000.0,,2021-12-31,PASS_exact_companyfacts_record
0000033185-2021,0000033185,2021,0000033185-22-000014,current_liabilities,LiabilitiesCurrent,2291300000.0,,2021-12-31,PASS_exact_companyfacts_record
0000033185-2021,0000033185,2021,0000033185-22-000014,net_income,NetIncomeLoss,744200000.0,2021-01-01,2021-12-31,PASS_exact_companyfacts_record
0000033185-2021,0000033185,2021,0000033185-22-000014,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,1334800000.0,2021-01-01,2021-12-31,PASS_exact_companyfacts_record
0001016169-2017,0001016169,2017,0001564590-18-005459,assets,Assets,74338000.0,,2017-12-31,PASS_exact_companyfacts_record
0001016169-2017,0001016169,2017,0001564590-18-005459,liabilities,Liabilities,40791000.0,,2017-12-31,PASS_exact_companyfacts_record
0001016169-2017,0001016169,2017,0001564590-18-005459,current_assets,AssetsCurrent,55536000.0,,2017-12-31,PASS_exact_companyfacts_record
0001016169-2017,0001016169,2017,0001564590-18-005459,current_liabilities,LiabilitiesCurrent,15733000.0,,2017-12-31,PASS_exact_companyfacts_record
0001016169-2017,0001016169,2017,0001564590-18-005459,net_income,NetIncomeLoss,-16743000.0,2017-01-01,2017-12-31,PASS_exact_companyfacts_record
0001016169-2017,0001016169,2017,0001564590-18-005459,operating_cash_flow,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-23094000.0,2017-01-01,2017-12-31,PASS_exact_companyfacts_record
0001097864-2021,0001097864,2021,0001628280-22-002416,assets,Assets,9626000000.0,,2021-12-31,PASS_exact_companyfacts_record
0001097864-2021,0001097864,2021,0001628280-22-002416,liabilities,Liabilities,5021600000.0,,2021-12-31,PASS_exact_companyfacts_record
0001097864-2021,0001097864,2021,0001628280-22-002416,current_assets,AssetsCurrent,3781600000.0,,2021-12-31,PASS_exact_companyfacts_record
0001097864-2021,0001097864,2021,0001628280-22-002416,current_liabilities,LiabilitiesCurrent,1543400000.0,,2021-12-31,PASS_exact_companyfacts_record
0001097864-2021,0001097864,2021,0001628280-22-002416,net_income,NetIncomeLoss,1009600000.0,2021-01-01,2021-12-31,PASS_exact_companyfacts_record
0001097864-2021,0001097864,2021,0001628280-22-002416,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,1782000000.0,2021-01-01,2021-12-31,PASS_exact_companyfacts_record
0001138476-2011,0001138476,2011,0001185185-12-000614,assets,Assets,1059499.0,,2011-12-31,PASS_exact_companyfacts_record
0001138476-2011,0001138476,2011,0001185185-12-000614,liabilities,Liabilities,263634.0,,2011-12-31,PASS_exact_companyfacts_record
0001138476-2011,0001138476,2011,0001185185-12-000614,current_assets,AssetsCurrent,980121.0,,2011-12-31,PASS_exact_companyfacts_record
0001138476-2011,0001138476,2011,0001185185-12-000614,current_liabilities,LiabilitiesCurrent,256565.0,,2011-12-31,PASS_exact_companyfacts_record
0001138476-2011,0001138476,2011,0001185185-12-000614,net_income,NetIncomeLoss,198235.0,2011-01-01,2011-12-31,PASS_exact_companyfacts_record
0001138476-2011,0001138476,2011,0001185185-12-000614,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,88139.0,2011-01-01,2011-12-31,PASS_exact_companyfacts_record
